rank,name,population,n_courts,nn1_m_median,nn5_m_median,pct_within_500m,pct_within_1km,mean_pair_km,convex_hull_km2,courts_per_hull_km2
52,York,153717,67,117.34391062839593,1622.0851235736438,67.2,85.1,6.36,169.54,0.4
53,Gloucester,150053,34,15.442454980783303,775.9375542762457,88.2,91.2,3.14,20.47,1.66
54,Burnley,149422,10,1712.1610679024907,2269.7276437170644,40.0,40.0,2.87,14.7,0.68
55,Telford,147980,4,2224.4532619797874,,0.0,0.0,3.97,4.02,0.99
56,Blackburn,146521,17,29.40984103535111,507.6432117979728,88.2,94.1,0.95,1.78,9.55
57,Basildon,144859,39,18.41366742640038,1382.2526621746151,84.6,84.6,4.33,69.44,0.56
58,Grimsby,134160,26,14.054757222099013,67.89564478130464,73.1,88.5,2.23,10.51,2.47
59,Hastings,133422,17,42.38662927483129,920.6742997921504,64.7,82.4,2.21,10.13,1.68
60,High Wycombe,133204,18,17.153817345201453,1595.9944911145024,72.2,94.4,2.19,8.11,2.22
61,Thanet,125370,50,17.87377542088822,1370.6997647836483,70.0,76.0,4.61,65.16,0.77
62,Accrington/Rossendale,125059,39,49.861500916764946,2628.8329911409774,53.8,66.7,8.69,222.46,0.18
63,Motherwell,124540,11,15.00383963716071,3157.32360457419,54.5,63.6,7.94,97.01,0.11
64,Burton-upon-Trent,122199,16,33.4091233161658,1601.62480429491,87.5,93.8,2.11,7.13,2.24
65,Colchester,121859,95,501.1906877776638,2064.7141526669843,48.4,72.6,8.76,317.62,0.3
66,Eastbourne,118219,23,53.86136169849871,1092.1278370053822,95.7,100.0,2.25,8.13,2.83
67,Exeter,117763,42,29.79196809903412,865.7897809216234,71.4,97.6,2.86,27.88,1.51
68,Cheltenham,116447,82,16.96937512438751,81.32951391685731,87.8,93.9,2.13,26.1,3.14
69,Torquay/Paignton,115410,40,75.91112437154987,1884.986702797012,72.5,85.0,5.02,63.26,0.63
70,Lincoln,114879,13,15.103531989340036,57.48403575330266,92.3,100.0,2.42,0.31,42.19
