city_rank,city_name,osm_type,osm_id,lat,lon,kind,leisure,sport,club,access,name,operator,tennis_courts_tag,surface,in_park,park_name,in_park,park_name
1,Greater London,way,27230481,51.4701043,-0.2223376,court,pitch,tennis,,,,,,,1,Leader's Gardens,1,Leader's Gardens
1,Greater London,way,27256932,51.4499666,-0.0900587,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,27257078,51.5548952,-0.4681963,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,27257082,51.5545873,-0.4682224,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,27257084,51.5542851,-0.4682502,court,pitch,tennis,,yes,,,,asphalt,0,,0,
1,Greater London,way,27257092,51.5539634,-0.4682827,court,pitch,tennis,,yes,,,,grass,0,,0,
1,Greater London,way,27817850,51.55496,-0.3058593,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,28036805,51.376065,-0.2746691,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,28131409,51.6260632,-0.0114303,court,pitch,tennis,,,,,,,1,Ridgeway Park,1,Ridgeway Park
1,Greater London,way,28131413,51.6261733,-0.0117641,court,pitch,tennis,,,,,,,1,Ridgeway Park,1,Ridgeway Park
1,Greater London,way,28131416,51.6260053,-0.0122425,court,pitch,tennis,,,,,,,1,Ridgeway Park,1,Ridgeway Park
1,Greater London,way,28178955,51.4043499,-0.1584046,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,28476541,51.3626266,0.1158169,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,28477012,51.3979393,0.0235757,sports_centre,sports_centre,tennis,sport,,Bromley Wendover Lawn Tennis Club,,,,0,,0,
1,Greater London,way,28968607,51.5902461,-0.4841121,court,pitch,tennis,,,,,,,1,Moorhall Recreation Ground,1,Moorhall Recreation Ground
1,Greater London,way,29215065,51.5479323,0.0674628,court,pitch,tennis,,,,,,,1,Little Ilford Park,1,Little Ilford Park
1,Greater London,way,29432537,51.5845408,0.0571693,court,pitch,tennis,,yes,,,,,1,Clayhall Park,1,Clayhall Park
1,Greater London,way,29647383,51.5753484,0.098772,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,30050309,51.6231518,-0.1187302,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,30122378,51.5419871,0.0442201,court,pitch,tennis,,,,,,,1,Plashet Park,1,Plashet Park
1,Greater London,way,30140233,51.5725816,-0.335377,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,30140234,51.5725567,-0.3347821,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,30140237,51.5717264,-0.339595,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,30181792,51.4565575,-0.0552073,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,30198196,51.5458622,-0.1217592,sports_centre,sports_centre,tennis,,,Islington Tennis Centre and Gym,Greenwich Leisure Limited,,,0,,0,
1,Greater London,way,30476122,51.5507106,-0.0995277,court,pitch,tennis,,,,,,,1,Highbury Fields,1,Highbury Fields
1,Greater London,way,31408811,51.3309893,0.0514015,court,pitch,tennis,,,,,,paved,1,Down House Garden,1,Down House Garden
1,Greater London,way,31865003,51.605925,-0.254474,court,pitch,tennis,,,,,,asphalt,0,,0,
1,Greater London,way,32607971,51.4069365,-0.0776094,court,pitch,tennis,,,,,,asphalt,1,South Norwood Lake,1,South Norwood Lake
1,Greater London,way,33460093,51.612637,-0.363474,sports_centre,sports_centre,tennis,sport,,Hatch End Lawn Tennis Club,,,,0,,0,
1,Greater London,way,33489305,51.3996703,-0.0202804,court,pitch,tennis,,,,,,tartan,1,Kelsey Park,1,Kelsey Park
1,Greater London,way,34041000,51.5777974,-0.3566903,court,pitch,tennis,,,,,,asphalt,1,West Harrow Recreation Ground,1,West Harrow Recreation Ground
1,Greater London,way,34105226,51.4512813,-0.3163477,court,pitch,tennis,,,,,,tartan,1,Marble Hill Park,1,Marble Hill Park
1,Greater London,way,34750829,51.4159136,-0.1050985,court,pitch,tennis,,,,,,asphalt,1,Biggin Woods,1,Biggin Woods
1,Greater London,way,34872239,51.5812306,-0.2058113,court,pitch,tennis,,,,,,asphalt,1,Princes Park,1,Princes Park
1,Greater London,way,35926218,51.4165204,0.0235377,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,35926219,51.4170917,0.0237384,court,pitch,tennis,,,,,,grass,0,,0,
1,Greater London,way,35926220,51.4168788,0.0243223,court,pitch,tennis,,,,,,grass,0,,0,
1,Greater London,way,35943609,51.4092438,-0.2067296,court,pitch,tennis,,,,,,,1,John Innes Park,1,John Innes Park
1,Greater London,way,35968128,51.4089796,0.0282345,sports_centre,sports_centre,tennis,,,,,,,0,,0,
1,Greater London,way,38199596,51.6105477,-0.0045275,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,38199743,51.6110566,-0.0051918,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,38375801,51.3190685,0.0733185,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,38385735,51.3362893,0.0556391,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,38610162,51.4522005,-0.0445217,court,pitch,tennis,,yes,,,,asphalt,0,,0,
1,Greater London,way,39460698,51.5696238,0.0324632,court,pitch,tennis,,,,,,clay,0,,0,
1,Greater London,way,39769942,51.5043933,0.1262525,court,pitch,tennis,,,,,,,1,Crossway Park,1,Crossway Park
1,Greater London,way,39843200,51.4596648,-0.2611805,court,pitch,tennis,,,,,,asphalt,1,Palewell Fields and Common,1,Palewell Fields and Common
1,Greater London,way,39910702,51.4546325,0.0676399,court,pitch,tennis,,,,,,,1,Eltham Park South,1,Eltham Park South
1,Greater London,way,39910794,51.4553645,0.0676471,court,pitch,tennis,,,,,,,1,Eltham Park South,1,Eltham Park South
1,Greater London,way,40438392,51.4677715,0.1945302,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,40739055,51.4390271,0.144485,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,41393850,51.4217948,0.1003059,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,41682455,51.3680816,-0.0016788,court,pitch,tennis,,,,,,asphalt,0,,0,
1,Greater London,way,41956892,51.6046054,-0.1024843,court,pitch,tennis,,,,,,asphalt,0,,0,
1,Greater London,way,42212266,51.5284012,-0.31781,court,pitch,tennis,,,,,,,1,Pitshanger Park,1,Pitshanger Park
1,Greater London,way,42839517,51.585561,-0.3177535,court,pitch,basketball;tennis,,,,,,asphalt,1,Kenton Recreation Ground,1,Kenton Recreation Ground
1,Greater London,way,43626242,51.4996936,-0.3322196,court,pitch,tennis;soccer,,,,,,paved,0,,0,
1,Greater London,way,44425875,51.4698041,-0.2028568,court,pitch,tennis,,,,,,,1,Hurlingham Park,1,Hurlingham Park
1,Greater London,way,44463353,51.42048,-0.3358127,court,pitch,tennis,,,,,,grass,0,,0,
1,Greater London,way,44463360,51.4207837,-0.3356413,court,pitch,tennis,,,,,,artificial_turf,0,,0,
1,Greater London,way,44533046,51.4585756,-0.2721494,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,44724382,51.4020285,0.0130357,court,pitch,tennis,,,,,,asphalt,1,Church House Gardens,1,Church House Gardens
1,Greater London,way,44731594,51.3947175,0.0603452,court,pitch,tennis,,,,,,paved,0,,0,
1,Greater London,way,44731596,51.3944097,0.0595757,court,pitch,tennis,,,,,,paved,0,,0,
1,Greater London,way,44733827,51.5329356,-0.358556,sports_centre,sports_centre,tennis,sport,,Greenford Tennis Club,,,,0,,0,
1,Greater London,way,45167848,51.503295,-0.2871143,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,45170537,51.515354,-0.3291542,sports_centre,sports_centre,tennis,sport,,West Middlesex Lawn Tennis Club,,,,0,,0,
1,Greater London,way,45695255,51.590119,-0.3822938,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,45877121,51.6199076,-0.2746285,sports_centre,sports_centre,tennis,sport,,The Drive Tennis Club,,,,0,,0,
1,Greater London,way,45959759,51.6177137,-0.3135548,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,46098273,51.6311914,-0.1216505,court,pitch,tennis,,,,,,,1,Grovelands Park,1,Grovelands Park
1,Greater London,way,46262367,51.6534999,-0.249007,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,46494144,51.5866937,-0.2063657,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,47630725,51.6115347,-0.4444973,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,47835156,51.6177379,-0.0936362,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,47847974,51.636669,-0.0929046,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,47975456,51.6153275,0.0006089,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,48040107,51.6147015,0.0272249,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,48045789,51.4751988,-0.0854086,court,pitch,tennis,,,,,,,1,Brunswick Park,1,Brunswick Park
1,Greater London,way,48290924,51.6097945,-0.1214051,court,pitch,tennis,,,,,,,0,,0,
